"Internal SKU","Primary EAN",Name,"Reference Numbers",Group,WMS,Warehouse,"Lot name",Quantity,Booked,Available,Required,"Expiration Date"
GT005,3353090078440,"AXEL tg 5/6 - Linea Bambini",GT005,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,20,0,20,0,2035-01-31
14781,8056001114781,"6 LUCCIOLE SOLARI BIANCO CALDO CON 2 GIOCHI DI LUCE H.72CM 1,2V",14781,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,22,0,22,0,2035-01-31
15312,8002840153122,"DIAVOLINA ACCEND. NATURALE 28 acc.",15312,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,119,0,119,0,2028-02-13
15420,8002840154204,"DIAVOLINA ACCENDITUTTO",15420,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20250213,156,0,156,0,2028-02-01
15550,8002840155508,"DIAVOLINA ASTUCCIO TEALIGHT CITRONELLA 10pz.",15550,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,29,0,29,0,2028-02-13
38071,8034052738071,"20 LAMPADINE BIANCO NATURALE DA ESTERNO PROLUNGABILE 15M IN SCATOLA REGA",38071,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20421219,4,0,4,0,2030-02-24
B33300,8006933069338,"24 PASTIGLIE DI COCCO SENZA RETE ? 3,5 CM",B33300,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,19,0,19,0,2035-01-31
B33316,8006933069406,"12 VASETTI BIODEGRADABILI IN COCCO ? 6 CM",B33316,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,12,0,12,0,2035-01-31
B11126,8006933069277,"3 PIATTI IN POLISTIRENE 72 CELLE - 3 piatti 53 x 25 x 4,2 cm",B11126,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
B33305,8006933069390,"24 VASETTI BIODEGRADABILI IN COCCO ? 6 CM",B33305,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,19,0,19,0,2035-05-30
B80096,8006933071188,"12 PASTIGLIE DI COCCO CON RETE ? 5 CM",B80096,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,13,0,13,0,2035-05-30
17273,8056001017273,"CASSETTA IN METALLO 2 SCOMPARTI CON MANICO IN LEGNO 29X16X16.5CM ASSORTI",17273,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,12,0,12,0,2035-01-31
14798,8056001114798,"10 LUCCIOLE SOLARI BIANCO CALDO CON 2 GIOCHI DI LUCE H.72CM 1,2V SC.REG",14798,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,17,0,17,0,2035-02-25
02819,8034052802819,"20 LAMPADINE BIANCO NATURALE DA ESTERNO PROLUNGABILE 15M IN SCATOLA REGA",02819,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,6,0,6,0,2040-02-25
15560,8002840155607,"DIAVOLINA FIACCOLA ?16 cm CITRONELLA",15560,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,108,0,108,0,2028-02-13
E0173,8006933027192,"FIORI PERENNI PER GIARDINI ROCCIOSI",E0173,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,18,0,18,0,2030-03-12
E0121,8006933026232,"FRAGOLA DI BOSCO",E0121,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,20,0,20,0,2027-12-31
6567,3121970142464,"Evergreen Handy Green II",6567,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,52,0,52,0,2035-01-31
RIN06,8023868005279,"Evergreen Rinverdente Kg 5 (4 sacchi)",RIN06,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,13,0,13,0,2035-01-31
15040,8002840150404,"I - DIAVOLINA PIASTRE E FORNELLI gr 50",15040,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,114,0,114,0,2028-02-13
99873,8056001099873,"DIFFUSORE DI ESSENZA ROSSO PASSIONE ml 125",99873,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,13,0,13,0,2035-01-31
19506,8034052719506,"FILO 60 LED COLORE BIANCO CALDO A BATTERIA DA ESTERNO CON 8 GIOCHI",19506,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,Lotto38411125,48,0,48,0,2035-02-20
15327,8002840153276,"I - DIAVOLINA LIGNITE 16 accensioni Maxi",15327,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,0,0,0,0,2035-01-31
99897,8056001099897,"DIFFUSORE DI ESSENZA ARIA di FRAGOLINO ml 125",99897,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,11,0,11,0,2035-01-31
GT028,3353090065273,"FUSHIA tg 08",GT028,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,LOTTO1,8,0,8,0,2035-01-31
15341,8002840153412,"DIAVOLINA GREEN POWER NATURALE 40 acc.",15341,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,185,0,185,0,2035-01-31
15030,8002840150305,"DIAVOLINA CEPPO SPAZZACAMINO",15030,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,24B23,56,0,56,0,2035-01-31
GT026,3353090065259,"FUSHIA tg 06",GT026,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lottp1,10,0,10,0,2035-05-30
6314,3121970160086,"Freeze Anticimici ml 300",6314,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,11,0,11,0,2035-01-31
15361,8002840153610,"DIAVOLINA ECO-RICCI SACCO 1 KG",15361,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,16,0,16,0,2035-02-20
CM005,8023868006436,"Garden Fert LongLife Kg 5 (**)",CM005,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,A00869K,68,0,68,0,2035-02-28
15510,8002840155102,"I - DIAVOLINA BBQUBE 24 acc. in spuma solida",15510,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,0335,216,0,216,0,2035-01-31
16590,8002840165903,"I - DIAVOLINA MAXI ACCENDINI BLISTER 1x2",16590,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,LOTTO1,70,0,70,0,2035-01-31
Y700901,5060494310257,"DOGKALM ml 250",Y700901,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,LOTTO1,9,0,9,0,2035-01-31
6113,3121970173550,"Evergreen Sport e Gioco Kg 1",6113,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,F2163MO32971,11,0,11,0,2035-05-30
GT024,3353090089767,"FLOWER tg 07",GT024,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,9,0,9,0,2035-01-31
96841,8056001096841,"DIFFUSORE DI ESSENZA LIME e BASILICO ml 125",96841,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,12,0,12,0,2035-01-31
99866,8056001099866,"DIFFUSORE DI ESSENZA ROSSO DIVINO ml 125",99866,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,12,0,12,0,2053-01-31
